Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,pop_score,Latitude,Longitude
22,Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2.0,4.4,0,Yes,Religious,No,0.16,All,4.444382284382285,19.054999,72.8692035
23,Western,Maharastra,Mumbai,Chowpatty Beach,Beach,Unknown,2.0,4.3,0,Yes,Recreational,Yes,0.05,Evening,4.443846153846154,19.054999,72.8692035
24,Western,Maharastra,Mumbai,Essel World,Amusement Park,1986,5.0,4.3,1149,Yes,Recreational,Yes,0.27,All,4.371923076923077,19.054999,72.8692035
25,Western,Maharastra,Mumbai,Elephanta Caves,Monument,1987,4.0,4.3,550,Yes,Historical,Yes,0.35,All,4.36085798816568,19.054999,72.8692035
26,Western,Maharastra,Lonavala,Imagicaa,Amusement Park,2013,5.0,1.4,1149,No,Recreational,Yes,0.95,All,1.868434065934066,18.7503694,73.4069436
27,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2.0,4.2,500,Yes,Historical,Yes,0.9,Morning,4.245463695183322,12.9767936,77.590082
28,Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,20,Yes,Nature,Yes,1.5,Evening,4.408770152003686,12.9767936,77.590082
29,Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1.0,4.4,0,Yes,Nature,Yes,1.32,Morning,4.409829633453795,12.9767936,77.590082
30,Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,4.6,0,Yes,Architectural,No,0.8,Morning,4.580047581284694,12.9767936,77.590082
31,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1.0,4.6,0,Yes,Religious,Yes,1.14,Evening,4.585226071638286,12.9767936,77.590082
32,Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1.0,4.5,25,Yes,Historical,Yes,2.1,Morning,4.4989630633683495,17.360589,78.4740613
33,Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2.0,4.4,30,Yes,Historical,Yes,1.2,Morning,4.410690623245369,17.360589,78.4740613
34,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1.0,4.3,0,Yes,Scenic,Yes,0.5,Evening,4.347233065442021,17.360589,78.4740613
35,Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4.0,4.4,1150,Yes,Entertainment,Yes,0.45,All,4.4236228287841195,17.360589,78.4740613
36,Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2.0,4.4,20,Yes,Historical,Yes,0.67,All,4.417435897435897,17.360589,78.4740613
37,Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1.0,4.4,25,Yes,Historical,Yes,0.2,Morning,4.4395841995842,17.360589,78.4740613
38,Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1.0,4.7,0,Yes,Religious,No,0.41,All,4.637320954907162,17.360589,78.4740613
39,Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,4.4,80,Yes,Historical,Yes,0.45,Morning,4.4236228287841195,17.360589,78.4740613
40,Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3.0,4.2,50,Yes,Wildlife,Yes,0.86,Morning,4.24722927557879,17.360589,78.4740613
41,Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1.0,4.1,20,Yes,Recreational,Yes,0.73,Evening,4.172940170940171,17.360589,78.4740613
42,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30,Yes,Historical,Yes,0.73,Morning,4.578495726495726,22.5726459,88.3638953
43,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,Yes,Architectural,No,1.2,Anytime,4.585873104997193,22.5726459,88.3638953
44,Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2.0,4.6,50,Yes,Historical,Yes,0.18,Morning,4.544703296703297,22.5726459,88.3638953
45,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1.0,4.7,0,Yes,Religious,Yes,0.82,Morning,4.663278943278943,22.5726459,88.3638953
46,Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1.0,4.4,0,Yes,Religious,Yes,0.5,Morning,4.421859931113663,22.5726459,88.3638953
47,Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3.0,4.1,2500,Yes,Sports,Yes,0.1,All,4.343133903133904,22.5726459,88.3638953
48,Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2.0,4.3,25,Yes,Wildlife,Yes,0.66,Afternoon,4.338127896200185,22.5726459,88.3638953
49,Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3.0,4.4,60,Yes,Educational,Yes,0.88,All,4.413948717948719,22.5726459,88.3638953
50,Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,0,Yes,Religious,Yes,0.47,Morning,4.6431971153846145,22.5726459,88.3638953
51,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1.0,4.4,0,Yes,Historical,Yes,0.1,Afternoon,4.454245014245014,22.5726459,88.3638953
52,Southern,Goa,Goa,Calangute Beach,Beach,Unknown,2.0,4.4,0,Yes,Scenic,Yes,0.26,Evening,4.434060822898032,15.3004543,74.0855134
53,Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1.0,4.5,0,Yes,Historical,Yes,0.59,Afternoon,4.496902834008097,15.3004543,74.0855134
54,Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0,Yes,Historical,Yes,0.95,Morning,4.243434065934067,15.3004543,74.0855134
55,Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Unknown,3.0,4.6,500,Yes,Nature,Yes,0.3,Afternoon,4.558821603927987,15.3004543,74.0855134
56,Southern,Goa,Goa,Anjuna Beach,Beach,Unknown,2.0,4.4,0,Yes,Scenic,Yes,0.18,Evening,4.441846153846155,15.3004543,74.0855134
57,Southern,Goa,Goa,Chapora Fort,Fort,1617,1.0,4.2,0,Yes,Historical,Yes,0.19,Evening,4.335128205128205,15.3004543,74.0855134
58,Southern,Goa,Goa,Se Cathedral,Church,1640,1.0,4.5,0,Yes,Historical,Yes,0.05,Afternoon,4.489300699300699,15.3004543,74.0855134
59,Southern,Goa,Goa,Baga Beach,Beach,Unknown,2.0,4.5,0,Yes,Scenic,Yes,0.35,Evening,4.495473372781065,15.3004543,74.0855134
60,Southern,Goa,Goa,Arambol Beach,Beach,Unknown,2.0,4.6,0,Yes,Scenic,Yes,0.1,Evening,4.528319088319089,15.3004543,74.0855134
61,Southern,Goa,Goa,Palolem Beach,Beach,Unknown,2.0,4.6,0,Yes,Scenic,Yes,0.27,Evening,4.556013986013986,15.3004543,74.0855134
62,Southern,Goa,Goa,Colva Beach,Beach,Unknown,2.0,4.3,0,Yes,Scenic,Yes,0.1,Evening,4.417207977207977,15.3004543,74.0855134
63,Southern,Goa,Goa,Miramar Beach,Beach,Unknown,1.5,4.2,0,Yes,Scenic,Yes,0.3,Evening,4.303502454991817,15.3004543,74.0855134
64,Southern,Goa,Goa,Aguada Beach,Beach,Unknown,2.0,4.5,0,Yes,Scenic,Yes,0.01,Evening,4.486923076923077,15.3004543,74.0855134
65,Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2.0,3.9,10,Yes,Wildlife,Yes,0.03,Afternoon,4.39823076923077,15.3004543,74.0855134
66,Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,4.6,0,Yes,Historical,Yes,0.35,Morning,4.562781065088757,23.0215374,72.5800568
67,Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,-400,2.0,4.7,0,No,Religious,No,0.59,Evening,4.652165991902834,22.2424747,68.9671448
68,Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3.0,4.5,3500,No,Wildlife,Yes,0.08,Morning,4.490584615384616,21.5220416,70.4582458
69,Western,Gujarat,Bhuj,White Desert,Site,1950,2.5,4.6,0,Yes,Nature,Yes,0.12,Evening,4.533262599469496,23.2472446,69.668339
70,Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890,2.0,4.4,200,Yes,Historical,Yes,0.17,Afternoon,4.443076923076923,22.2973142,73.1942567
71,Western,Gujarat,Somnath,Somnath Temple,Temple,1951,2.0,4.8,0,No,Religious,No,0.39,Morning,4.704725274725274,20.8957174,70.4080467
72,Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,Unknown,3.0,4.9,7500,Yes,Cultural,Yes,0.1,Evening,4.639430199430199,23.7905518,70.4966137
73,Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3.0,4.6,350,No,Historical,Yes,0.67,All,4.576959706959706,21.2947722,73.1472445
74,Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,2013,1.5,4.5,0,No,Historical,Yes,0.05,All,4.489300699300699,23.2232877,72.6492267
75,Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,2012,1.0,4.6,0,Yes,Recreational,Yes,0.1,Evening,4.528319088319089,23.0215374,72.5800568
76,Western,Gujarat,Ahmedabad,Manek Chowk,Market,Unknown,2.0,4.4,0,Yes,Food,Yes,0.49,Night,4.422191142191142,23.0215374,72.5800568
77,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,3.0,4.5,10,Yes,Recreational,Yes,0.3,Afternoon,4.494991816693945,23.0215374,72.5800568
78,Western,Gujarat,Ahmedabad,Science City,Science,2002,7.0,4.4,500,Yes,Educational,Yes,0.11,All,4.452307692307692,23.0215374,72.5800568
79,Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1799,1.0,4.4,50,Yes,Architectural,Yes,1.3,Morning,4.4099633699633705,26.9154576,75.8189817
80,Northern,Rajasthan,Udaipur,City Palace,Palace,1559,2.0,4.4,300,Yes,Historical,Yes,0.51,All,4.421538461538462,24.578721,73.6862571
81,Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,1156,2.5,4.4,50,No,Historical,Yes,0.56,All,4.4200632244467855,26.9116615,70.9124888
82,Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,1980,3.0,4.6,500,No,Wildlife,Yes,0.09,All,4.525562130177515,26.2290186,76.3043561
83,Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,1400,1.5,4.4,0,No,Religious,Yes,1.6,All,4.408274663189918,26.4876472,74.5578484
84,Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1236,1.0,4.6,0,Yes,Religious,No,0.35,All,4.562781065088757,26.4691,74.639
85,Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,1459,2.0,4.6,100,Yes,Historical,Yes,0.64,All,4.576106362773029,26.2967719,73.0351433
86,Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,700,2.0,4.6,40,No,Historical,Yes,1.9,All,4.590650315867707,24.7171578,74.4718129
87,Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1100,1.0,4.6,0,No,Religious,No,0.05,All,4.512027972027973,24.592433,72.7081876
88,Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,1589,2.0,4.5,50,Yes,Historical,Yes,0.32,All,4.49519623233909,28.0159286,73.3171367
89,Northern,Rajasthan,Jaipur,Amber Fort,Fort,1592,2.0,4.6,100,Yes,Historical,Yes,1.5,All,4.58841087056656,26.9154576,75.8189817
90,Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1726,1.5,4.5,35,Yes,Historical,Yes,0.3,All,4.494991816693945,26.9154576,75.8189817
91,Northern,Rajasthan,Udaipur,Lake Pichola,Lake,1362,1.0,4.6,0,Yes,Nature,Yes,0.5,All,4.571113662456946,24.578721,73.6862571
92,Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1604,1.5,4.9,0,Yes,Spiritual,Yes,1.9,All,4.866012634708287,31.6356659,74.8787496
93,Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1951,1.0,4.8,0,Yes,Historical,Yes,0.3,Afternoon,4.686481178396072,31.6356659,74.8787496
94,Northern,Punjab,Amritsar,Wagah Border,Border Crossing,1950,2.0,4.8,0,Yes,Cultural,Yes,0.17,Evening,4.643076923076923,31.6356659,74.8787496
95,Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,1976,2.0,4.5,30,Yes,Artistic,Yes,0.5,All,4.496486796785304,30.7334421,76.7797143
96,Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,Unknown,1.5,4.5,0,Yes,Recreational,Yes,0.11,All,4.491593406593406,9.5006651,76.4124143
97,Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,Unknown,2.0,4.3,0,No,Nature,Yes,0.3,All,4.36733224222586,10.0869959,77.0600915
98,Southern,Kerala,Kochi,Fort Kochi,Site,1503,1.0,4.4,0,Yes,Historical,Yes,0.1,All,4.454245014245014,9.9679032,76.2444378
99,Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,Unknown,1.0,4.7,0,Yes,Religious,No,0.46,All,4.6422954822954825,8.4882267,76.947551
100,Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,Unknown,1.5,3.9,0,Yes,Recreational,Yes,0.059,All,4.3351360429963055,11.2450558,75.7754716
101,Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,Unknown,3.0,4.5,300,No,Wildlife,Yes,2.2,All,4.499006815968841,11.7151292,76.1271185
102,Southern,Kerala,Thekkady,Periyar National Park,National Park,1982,3.0,4.3,50,No,Wildlife,Yes,0.14,All,4.402084367245657,9.5804995,77.181142
103,Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,1972,2.0,3.8,50,Yes,Wildlife,Yes,0.1,All,4.232022792022792,9.5960545,76.4305378
104,Southern,Kerala,Varkala,Varkala Beach,Beach,Unknown,2.0,4.6,0,Yes,Recreational,Yes,0.1,All,4.528319088319089,8.7340434,76.7252855
105,Southern,Kerala,Bekal,Bekal Fort,Fort,1650,1.5,4.5,20,No,Historical,Yes,0.22,All,4.49396449704142,12.395725,75.0371916
106,Southern,Kerala,Kovalam,Kovalam Beach,Beach,Unknown,2.0,4.4,0,Yes,Recreational,Yes,0.68,All,4.417230769230769,8.3902593,76.9785152
107,Southern,Kerala,Kannur,St. Angelo Fort,Fort,1505,1.0,4.4,20,Yes,Historical,Yes,0.11,All,4.452307692307692,11.8763836,75.3737973
108,Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,Unknown,1.0,4.5,0,No,Nature,Yes,0.03,Morning,4.4882307692307695,10.534929,76.6932696
109,Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,2009,1.5,4.4,100,Yes,Cultural,Yes,0.1,All,4.454245014245014,9.9679032,76.2444378
110,Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,2016,5.5,4.6,750,Yes,Entertainment,Yes,0.41,All,4.566631299734748,9.9679032,76.2444378
111,Southern,Karnataka,Mysore,Mysore Palace,Palace,1912,2.0,4.6,50,Yes,Historical,Yes,2.5,All,4.592751368481706,12.3051828,76.6553609
112,Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,Unknown,3.0,4.7,0,No,Historical,Yes,0.05,All,4.534755244755245,15.3358,76.4610201
113,Southern,Karnataka,Coorg,Abbey Falls,Waterfall,Unknown,1.0,4.1,0,No,Nature,Yes,0.03,Morning,4.428230769230769,12.3827332,75.6640715
114,Southern,Karnataka,Gokarna,Om Beach,Beach,Unknown,2.0,4.5,0,No,Nature,Yes,0.09,All,4.49094674556213,14.5439629,74.3184418
115,Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,Unknown,3.0,4.5,0,No,Nature,Yes,0.05,All,4.489300699300699,13.318014,75.7738743
116,Southern,Karnataka,Badami,Badami Cave Temples,Cave,600,1.5,4.6,30,No,Religious,No,0.2,All,4.547692307692308,15.9203874,75.6807865
117,Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1900,1.5,4.6,30,No,Nature,Yes,0.23,Morning,4.551615384615384,13.9326093,75.574978
118,Southern,Karnataka,Mangalore,Panambur Beach,Beach,Unknown,1.5,4.5,0,Yes,Recreational,Yes,0.1,All,4.4912820512820515,12.8698101,74.8430082
119,Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,Unknown,1.0,4.7,0,Yes,Religious,No,0.49,All,4.644918414918415,15.3410864,75.1197114
120,Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1656,1.5,4.5,20,No,Historical,Yes,0.25,All,4.494395604395605,18.7935679,80.815939
121,Southern,Karnataka,Bandipur,Bandipur National Park,National Park,1974,3.0,4.4,300,No,Wildlife,Yes,0.15,Morning,4.445769230769231,24.2254871,77.4774115
122,Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1121,1.0,4.7,15,No,Religious,No,0.11,All,4.570164835164835,12.5923947,76.6913469
123,Western,Maharastra,Pune,Shaniwar Wada,Fort,1732,2.0,4.4,50,Yes,Historical,Yes,1.2,All,4.410690623245369,18.5213738,73.8545071
124,Western,Maharastra,Aurangabad,Ajanta Caves,Cave,200,3.0,4.6,30,Yes,Historical,Yes,0.21,Afternoon,4.549068825910931,24.8033201,84.4110198
125,Western,Maharastra,Nashik,Sula Vineyards,Vineyard,1999,2.0,4.1,300,Yes,Recreational,Yes,0.1,Afternoon,4.343133903133904,20.0112475,73.7902364
126,Western,Maharastra,Shirdi,Sai Baba Temple,Temple,1922,1.5,4.7,0,Yes,Religious,No,0.69,All,4.657728085867621,19.7668121,74.4754386
127,Western,Maharastra,Alibaug,Alibaug Beach,Beach,Unknown,1.5,4.2,0,Yes,Recreational,Yes,0.05,Evening,4.421118881118881,18.6498427,72.8765469
128,Western,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,1600,1.0,4.7,0,No,Religious,No,0.1,All,4.565356125356126,17.2826079,73.4569787
129,Western,Maharastra,Nagpur,Deekshabhoomi,Monument,2001,1.0,4.5,0,Yes,Religious,Yes,0.11,Afternoon,4.491593406593406,21.1498134,79.0820556
130,Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,700,1.0,4.8,0,Yes,Religious,No,0.9,All,4.750136592379583,16.7028412,74.2405329
131,Western,Maharastra,Lonavala,Karla Caves,Cave,200,1.5,4.4,25,Yes,Historical,Yes,0.27,Afternoon,4.433286713286714,18.7503694,73.4069436
132,Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,Unknown,2.0,4.6,0,No,Recreational,Yes,0.065,Evening,4.517643207855974,16.006814,73.4918404
133,Western,Maharashtra,Satara,Kaas Plateau,Valley,Unknown,2.0,4.4,300,No,Nature,Yes,0.05,Afternoon,4.466573426573427,17.6361289,74.2982781
134,Western,Maharashtra,Matheran,Echo Point,Viewpoint,1828,1.5,4.4,0,Yes,Nature,Yes,0.02,Morning,4.477085020242915,18.9901544,73.2700191
135,Western,Maharashtra,Ajanta,Ellora Caves,Cave,600,3.0,4.7,30,Yes,Historical,Yes,0.49,Afternoon,4.644918414918415,20.532524,75.7513692
136,Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,-850,2.0,4.7,40,No,Cultural,Yes,0.09,Afternoon,4.560177514792899,24.8515132,79.9259786
137,Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,-300,1.5,4.7,30,Yes,Historical,Yes,0.01,Afternoon,4.498034188034188,23.2584857,77.401989
138,Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,1747,1.0,4.4,10,Yes,Historical,Yes,0.63,Afternoon,4.4183076923076925,22.7203616,75.8681996
139,Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,900,2.5,4.5,75,Yes,Historical,Yes,0.4,Morning,4.49587044534413,26.2037247,78.1573628
140,Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,-3500,1.5,4.8,0,Yes,Religious,No,1.2,All,4.761055586749018,23.1885131,75.7716562
141,Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,Unknown,1.0,4.5,0,No,Nature,Yes,0.01,Morning,4.486923076923077,23.1701522,79.9324505
142,Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,Unknown,1.5,4.6,15,No,Nature,Yes,0.065,Morning,4.517643207855974,22.4736824,78.4360537
143,Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,1955,3.0,4.5,100,No,Wildlife,Yes,0.1,Morning,4.4912820512820515,22.2769842,80.6278653
144,Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,1968,3.0,4.5,50,No,Wildlife,Yes,0.05,Morning,4.489300699300699,23.6444125,81.0245023
145,Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1500,1.5,4.8,10,No,Historical,Yes,0.1,Afternoon,4.602393162393163,25.3528706,78.6402465
146,Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1500,1.0,3.9,50,No,Historical,Yes,0.03,Afternoon,4.39823076923077,23.7978518,85.5263325
147,Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,1958,2.0,4.6,25,No,Archaeological,Yes,0.07,Afternoon,4.519358974358974,22.9384007,77.6133286
148,Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,1200,1.0,4.4,0,No,Religious,Yes,0.01,All,4.481367521367521,22.670465,81.7588417
149,Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,Unknown,1.5,4.4,0,No,Nature,Yes,0.1,Morning,4.454245014245014,25.217139,81.1045927
150,Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,Unknown,1.0,4.7,0,Yes,Recreational,Yes,0.03,Morning,4.518230769230769,31.1041526,77.1709729
151,Northern,Himachal Pradesh,Manali,Solang Valley,Valley,Unknown,2.0,4.1,0,No,Adventure,Yes,0.05,Morning,4.398391608391608,32.2454608,77.1872926
152,Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1959,1.5,4.7,0,Yes,Religious,No,0.15,All,4.586394230769231,32.5435755,75.9448409
153,Northern,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,Unknown,1.5,4.5,0,No,Nature,Yes,0.1,Morning,4.4912820512820515,32.5435755,75.9448409
154,Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,1100,1.0,4.8,0,No,Religious,Yes,0.025,Morning,4.526390532544379,,
155,Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,1984,3.0,4.5,50,No,Wildlife,Yes,0.2,All,4.493638253638254,31.9578974,77.1089232
156,Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,Unknown,2.0,4.4,0,No,Recreational,Yes,0.01,Morning,4.481367521367521,32.6923316,76.1631552
157,Northern,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,Unknown,2.0,4.5,0,No,Nature,Yes,0.01,Morning,4.486923076923077,31.593013,78.3281417
158,Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,400,2.0,4.4,150,Yes,Historical,Yes,0.1,All,4.454245014245014,32.0768665,76.2985872
159,Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1950,1.5,4.6,0,Yes,Agricultural,Yes,0.015,Morning,4.495384615384616,32.1095492,76.5359534
160,Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,1400,1.5,4.6,0,No,Nature,Yes,0.01,Morning,4.492478632478632,31.6516617,77.0092542
161,Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2005,2.0,4.8,2500,No,Adventure,Yes,0.01,All,4.503589743589743,32.0472187,76.7406502
